100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-1215,-2233,-228,-199,-301,-201,34,136,-125,-292,-346,0
-256,24,26,-206,136,251,109,436,16,26,20,0
-34,87,-14,252,3,-15,50,200,28,32,22,0
246,80,9,114,161,119,170,680,25,26,16,0
752,542,106,113,209,218,206,824,24,32,16,0
-22,200,18,22,31,97,24,96,19,14,24,0
48,34,-7,41,26,6,23,92,25,8,22,0
129,86,26,36,53,59,60,240,19,30,18,0
189,64,63,44,79,120,107,428,20,22,12,0
185,68,33,39,51,64,31,124,24,26,18,0
375,21,60,47,76,95,55,220,27,32,24,0
1266,676,160,145,187,129,82,328,27,28,26,0
