100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-5429,-2999,-6350,-195,-1143,-535,-91,-364,-4159,1672,2052,0
831,2005,411,1092,1089,1231,6,24,3587,1482,1546,0
2223,3842,237,738,987,1430,20,80,4513,1366,1918,0
2612,4754,564,1297,2844,3141,46,184,5460,1284,2140,0
11874,17353,3961,6568,17478,18556,580,2320,5934,1886,1918,0
-240,-3248,352,602,944,1068,57,228,3448,1956,962,0
-545,-641,3,328,275,756,77,308,4464,2016,1710,0
1056,1964,61,158,-338,541,82,328,3567,1612,1514,0
849,1464,329,364,493,534,42,168,4179,1566,1368,0
1813,2315,722,812,841,850,60,240,5245,1932,1300,0
2953,2614,611,779,895,1042,73,292,5575,1560,742,0
6504,7743,724,1778,2395,3281,107,428,5440,3220,896,0
