100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-706,-789,-133,-56,-148,-106,-24,-96,157,-14,54,0
52,13,37,80,84,97,0,0,108,112,84,0
127,73,12,26,30,49,0,0,116,154,114,0
187,252,22,62,47,75,1,4,158,166,164,0
507,1016,114,306,310,391,32,128,137,168,138,0
-154,-223,-16,10,198,139,1,4,2,4,0,0
76,30,10,-2,-1,31,3,12,139,148,120,0
171,126,4,-5,-9,24,2,8,106,100,72,0
86,90,9,11,8,24,3,12,91,86,82,0
146,128,18,40,39,59,3,12,111,146,122,0
181,170,16,39,45,54,1,4,105,130,94,0
289,385,19,42,58,75,3,12,114,128,88,0
