100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-833,-2302,-816,-300,-830,-673,-40,-160,-36,-270,-94,0
10,233,5,38,-6,33,-8,-32,77,46,38,0
364,69,1,50,50,49,5,20,43,16,20,0
447,588,70,307,1039,777,34,136,95,50,84,0
659,344,298,527,578,1377,97,388,140,216,246,0
-678,-501,13,29,27,55,32,128,4,0,0,0
153,184,13,-21,-3,3,2,8,16,4,6,8
185,290,10,21,-47,-10,17,68,25,8,10,0
300,384,-26,-102,-24,-117,8,32,39,50,38,0
236,213,12,7,68,36,13,52,92,78,56,0
293,178,2,51,53,168,-7,-28,139,122,126,0
183,22,10,11,43,35,15,60,84,102,78,0
