100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-932,-1522,-242,-202,-717,-1602,-30,-120,67,20,-14,0
-60,-145,22,47,85,98,4,16,92,110,94,0
105,138,31,81,70,83,3,12,169,38,26,0
-95,-64,28,56,88,89,5,20,157,116,94,0
778,1511,264,752,1371,1982,64,256,111,42,96,0
-697,-755,-4,77,-66,242,51,204,123,44,34,0
-205,-420,29,-10,-225,-30,1,4,130,54,46,0
-1,-49,-1,-32,-178,-140,3,12,117,90,66,0
-46,-9,6,51,-68,-63,20,80,99,76,44,0
-16,-182,5,91,172,8,20,80,84,68,60,0
60,-25,-13,109,176,56,16,64,117,80,62,0
313,446,54,112,178,254,21,84,117,56,54,0
