100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-531,-1266,-634,-984,-1340,-1108,-126,-504,-142,-770,-194,0
-40,-69,3,10,0,44,2,8,107,112,94,0
-56,57,-1,1,19,58,0,0,104,138,100,0
50,178,12,32,8,99,-1,-4,102,98,86,0
901,1560,225,334,521,430,89,356,163,168,154,0
-231,-98,46,51,107,116,18,72,59,70,60,0
-69,-310,-29,94,76,106,20,80,103,120,84,0
-42,171,25,69,81,115,24,96,140,110,74,0
25,11,12,32,57,95,16,64,92,122,96,0
174,109,42,74,104,104,21,84,134,112,90,0
219,462,40,69,92,91,16,64,136,118,88,0
671,663,147,117,166,162,23,92,125,106,90,0
