100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-314,-954,-90,-208,-433,-60,-99,-396,-192,-96,-76,0
306,145,25,48,36,30,-1,-4,-13,-4,-2,0
320,200,26,62,68,74,23,92,33,42,14,0
580,256,26,49,53,39,31,124,19,64,30,0
1263,1308,268,696,942,626,159,636,322,128,184,0
-214,-170,-31,-21,-40,14,9,36,-32,6,-2,0
116,83,-2,11,15,40,25,100,1,0,0,0
352,274,20,19,9,97,34,136,7,18,4,0
303,134,28,25,26,88,32,128,-91,18,14,0
233,229,53,120,106,130,38,152,-98,40,14,0
198,200,5,14,-25,-2,21,84,-44,36,18,0
567,438,34,41,28,43,28,112,79,22,16,0
