id,periode,pecahan,value
amb,1,AK,-504
amb,2,AK,-52
amb,3,AK,-26
amb,4,AK,39
amb,5,AK,238
amb,6,AK,-58
amb,7,AK,-27
amb,8,AK,28
amb,9,AK,51
amb,10,AK,68
amb,11,AK,104
amb,12,AK,329
amb,1,BK,-490
amb,2,BK,-37
amb,3,BK,16
amb,4,BK,54
amb,5,BK,218
amb,6,BK,22
amb,7,BK,39
amb,8,BK,68
amb,9,BK,107
amb,10,BK,104
amb,11,BK,121
amb,12,BK,278
amb,1,CK,-116
amb,2,CK,-1
amb,3,CK,3
amb,4,CK,10
amb,5,CK,51
amb,6,CK,55
amb,7,CK,33
amb,8,CK,15
amb,9,CK,20
amb,10,CK,22
amb,11,CK,31
amb,12,CK,57
amb,1,DK,-147
amb,2,DK,-2
amb,3,DK,5
amb,4,DK,19
amb,5,DK,89
amb,6,DK,106
amb,7,DK,88
amb,8,DK,48
amb,9,DK,44
amb,10,DK,50
amb,11,DK,45
amb,12,DK,97
amb,1,EK,-87
amb,2,EK,-25
amb,3,EK,7
amb,4,EK,25
amb,5,EK,168
amb,6,EK,186
amb,7,EK,79
amb,8,EK,63
amb,9,EK,88
amb,10,EK,71
amb,11,EK,67
amb,12,EK,145
amb,1,FK,-123
amb,2,FK,-28
amb,3,FK,-6
amb,4,FK,53
amb,5,FK,163
amb,6,FK,217
amb,7,FK,104
amb,8,FK,71
amb,9,FK,82
amb,10,FK,77
amb,11,FK,61
amb,12,FK,171
amb,1,GK,1
amb,2,GK,5
amb,3,GK,4
amb,4,GK,7
amb,5,GK,61
amb,6,GK,30
amb,7,GK,18
amb,8,GK,16
amb,9,GK,18
amb,10,GK,21
amb,11,GK,17
amb,12,GK,53
amb,1,GL,4
amb,2,GL,20
amb,3,GL,16
amb,4,GL,28
amb,5,GL,244
amb,6,GL,120
amb,7,GL,72
amb,8,GL,64
amb,9,GL,72
amb,10,GL,84
amb,11,GL,68
amb,12,GL,212
amb,1,HL,8
amb,2,HL,6
amb,3,HL,12
amb,4,HL,3
amb,5,HL,52
amb,6,HL,20
amb,7,HL,33
amb,8,HL,16
amb,9,HL,19
amb,10,HL,35
amb,11,HL,21
amb,12,HL,33
amb,1,IL,36
amb,2,IL,10
amb,3,IL,18
amb,4,IL,18
amb,5,IL,88
amb,6,IL,28
amb,7,IL,38
amb,8,IL,22
amb,9,IL,24
amb,10,IL,40
amb,11,IL,32
amb,12,IL,64
amb,1,JL,20
amb,2,JL,6
amb,3,JL,10
amb,4,JL,26
amb,5,JL,12
amb,6,JL,32
amb,7,JL,12
amb,8,JL,12
amb,9,JL,14
amb,10,JL,34
amb,11,JL,42
amb,12,JL,64
amb,1,KL,0
amb,2,KL,0
amb,3,KL,0
amb,4,KL,0
amb,5,KL,0
amb,6,KL,0
amb,7,KL,0
amb,8,KL,0
amb,9,KL,0
amb,10,KL,0
amb,11,KL,0
amb,12,KL,0
bpp,1,AK,-108
bpp,2,AK,-10
bpp,3,AK,85
bpp,4,AK,138
bpp,5,AK,354
bpp,6,AK,-116
bpp,7,AK,40
bpp,8,AK,66
bpp,9,AK,61
bpp,10,AK,85
bpp,11,AK,144
bpp,12,AK,371
bpp,1,BK,-349
bpp,2,BK,-2
bpp,3,BK,95
bpp,4,BK,207
bpp,5,BK,657
bpp,6,BK,-148
bpp,7,BK,22
bpp,8,BK,65
bpp,9,BK,143
bpp,10,BK,105
bpp,11,BK,170
bpp,12,BK,371
bpp,1,CK,-934
bpp,2,CK,5
bpp,3,CK,4
bpp,4,CK,2
bpp,5,CK,68
bpp,6,CK,3
bpp,7,CK,-9
bpp,8,CK,8
bpp,9,CK,4
bpp,10,CK,5
bpp,11,CK,0
bpp,12,CK,22
bpp,1,DK,-1415
bpp,2,DK,19
bpp,3,DK,2
bpp,4,DK,12
bpp,5,DK,185
bpp,6,DK,9
bpp,7,DK,-6
bpp,8,DK,-11
bpp,9,DK,3
bpp,10,DK,1
bpp,11,DK,10
bpp,12,DK,44
bpp,1,EK,-1218
bpp,2,EK,28
bpp,3,EK,6
bpp,4,EK,24
bpp,5,EK,309
bpp,6,EK,23
bpp,7,EK,-2
bpp,8,EK,-4
bpp,9,EK,18
bpp,10,EK,12
bpp,11,EK,16
bpp,12,EK,71
bpp,1,FK,-1207
bpp,2,FK,37
bpp,3,FK,18
bpp,4,FK,40
bpp,5,FK,468
bpp,6,FK,58
bpp,7,FK,4
bpp,8,FK,9
bpp,9,FK,0
bpp,10,FK,-4
bpp,11,FK,21
bpp,12,FK,76
bpp,1,GK,-117
bpp,2,GK,2
bpp,3,GK,1
bpp,4,GK,3
