100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-504, -490,	-116,	-147,	-87,	-123,	1,	4,	8,	36,	20,	0
-52,	-37,	-1,	-2,	-25,	-28,	5,	20,	6,	10,	6,	0
-26,	16,	3,	5,	7,	-6,	4,	16,	12,	18,	10,	0
39,	54,	10,	19,	25,	53,	7,	28,	3,	18,	26,	0
238,	218,	51,	89,	168,	163,	61,	244,	52,	88,	12,	0
-58,	22,	55,	106,	186,	217,	30,	120,	20,	28,	32,	0
-27,	39,	33,	88,	79,	104,	18,	72,	33,	38,	12,	0
28,	68,	15,	48,	63,	71,	16,	64,	16,	22,	12,	0
51,	107, 20,	44,	88,	82,	18,	72,	19,	24,	14,	0
68,	104,	22,	50,	71,	77,	21,	84,	35,	40,	34,	0
104, 121,	31,	45,	67,	61,	17,	68,	21,	32,	42,	0
329,	278,	57,	97,	145,	171,	53,	212,	33,	64,	64,	0
