100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-2455,-3907,-553,-387,-878,-2735,-69,-276,-636,-264,82,0
-35,-4,118,161,413,241,-5,-20,-11,290,352,0
314,556,145,278,282,711,2,8,309,348,314,0
709,758,479,863,1239,1321,9,36,693,456,390,0
2416,2040,666,1397,2073,2172,92,368,1125,338,588,40
-1233,-1186,88,72,895,987,89,356,191,140,64,72
-549,-909,-213,-616,-1033,-895,1,4,-338,314,118,116
-128,-301,142,226,72,244,38,152,173,260,150,132
-172,-143,157,131,-288,317,40,160,66,360,106,64
-205,-285,107,286,364,183,19,76,-346,232,112,76
289,235,99,276,29,449,21,84,-62,258,158,60
1069,831,356,644,1230,1213,74,296,334,462,306,72
