100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-833	-1843	-461	-1264	-1835	-1342	-212	-848	26	18	20	0
37	-13	62	60	81	102	13	52	71	58	50	0
256	45	11	67	44	63	11	44	81	106	80	0
-67	504	-3	63	80	103	7	28	69	82	108	0
1220	1610	655	895	1027	1082	183	732	159	102	360	0
-446	379	242	5	-49	-3	16	64	20	20	40	0
-117	-556	-183	203	205	258	38	152	100	72	124	0
199	-18	-37	174	240	198	67	268	71	88	62	0
95	-54	-18	11	48	137	30	120	63	66	58	0
28	250	8	35	39	102	29	116	87	82	82	0
137	76	-8	19	133	25	35	140	106	88	90	0
245	251	31	197	276	264	63	252	89	90	88	0

