100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-673,	-543,	-36,	-119,	-60,	4,	-24,	-96,	-82,	-180,	-116,	0
-28,	-55,	10,	49,	20,	48,	9,	36,	21,	20,	22,	0
62,	72,	18,	58,	39,	91,	13,	52,	16,	12,	20,	0
149,	83,	11,	41,	9,	56,	4,	16,	14,	14,	16, 0
544,	563,	81,	301,	397,	294,	116,	464,	31,	28,	36,	0
39,	124,	-11,	19,	181,	114,	22,	88,	5,	4,	12,	0
-9,	35,	17,	17,	30,	56,	19,	76,	25,	20,	24,	0
68,	95,	6,	13,	-12,	43,	22,	88,	22,	22,	18,	0
36,	20,	14,	47,	53,	87,	13,	52,	15,	12,	14,	0
31,	10,	11,	47,	104,	78,	15,	60,	19,	14,	26,	0
85,	83,	15,	65,	130,	73,	17,	68,	14,	12,	16,	0
229,	246,	12,	26,	96,	90,	21,	84,	18,	18,	24,	0
