100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-969,	-1216,	-313,	-602,	-804,	-896,	-33,	-132,	-125,	34,	-120,	0
-221,	-122,	5,	24,	36,	49,	9,	36,	116,	204,	134,	0
-3,	68,	16,	23,	29,	57,	18,	72,	86,	200,	72,	0
-97,	205,	33,	44,	64,	88,	1,	4,	154,	152,	242,	0
299,	861,	284,	425,	606,	554,	42,	168,	173,	66,	182,	0
-368,	-220,	-35,	-52,	10,	7,	-4,	-16,	83,	106,	72,	0
-121,	-220,	30,	52,	49,	60,	8,	32,	156,	146,	126,	0
-146,	-67,	7,	-1,	10,	113,	17,	68,	156,	248,	224,	0
-105,	-41,	-1,	23,	45,	68,	9,	36,	97,	232,	224,	0
3,	-57,	2,	41,	83,	129,	13,	52,	118,	236,	100,	0
-6,	172,	21,	41,	63,	85,	16,	64,	112,	210,	50,	0
172,	475,	36,	40,	56,	89,	19,	76,	105,	134,	46,	0
