100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-410,	-488,	-254,	-89,	-16,	44,	-41,	-164,	48,	-24,	-14,	0
-13,	18,	2,	34,	34,	36,	4,	16,	15,	8,	2,	0
33,	52,	17,	149,	216,	169,	17,	68,	17,	4,	2,	0
172,	-14,	74,	210,	166,	245,	20,	80,	59,	16,	-2,	0
449,	532,	120,	232,	650,	344,	23,	92,	86,	16,	16,	0
30,	152,	19,	63,	190,	61,	3,	12,	45,	42,	-6,	0
104,	-11,	22,	129,	219,	61,	4,	16,	58,	36,	6,	0
123,	103,	4,	157,	240,	78,	8,	32,	57,	6,	10,	0
97,	58,	25,	102,	171,	160,	18,	72,	54,	2,	-8,	0
128,	118,	38,	77,	134,	116,	17,	68,	49,	4,	-2,	0
120,	194,	47,	83,	116,	174,	23,	92,	43,	24,	0,	0
131,	210,	53,	348,	463,	142,	38,	152,	86,	6,	10,	0
