100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-108,	-349,	-934,	-1415,	-1218,	-1207,	-117,	-468,	-1186,	-960,	-422,	0
-10,	-2,	5,	19,	28,	37,	2,	8,	126,	96,	80,	0
85,	95,	4,	2,	6,	18,	1,	4,	127,	72,	72,	0
138,	207,	2,	12,	24,	40,	3,	12,	112,	80,	90,	0
354,	657,	68,	185,	309,	468,	13,	52,	204,	174,	182,	0
-116,	-148,	3,	9,	23,	58,	16,	64,	58,	22,	36,	0
40,	22,	-9,	-6,	-2,	4,	3,	12,	137,	116,	126,	0
66,	65,	8,	-11,	-4,	9,	7,	28,	115,	92,	96,	0
61,	143,	4,	3,	18,	0,	3,	12,	103,	78,	88,	0
85,	105,	5,	1,	12,	-4,	2,	8,	144,	84,	98,	0
144,	170,	0,	10,	16, 21,	2,	8,	104,	48,	50,	0
371,	371,	22,	44,	71,	76,	6,	24,	102,	68,	78,	0
