100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-75,	-488,	-691,	-1003,	-1022,	-834,	-113,	-452,	-405,	112,	46,	0
93,	52,	29,	54,	55,	46,	8,	32,	90,	66,	98,	0
272,	172,	-1,	-1,	2,	22,	10,	40,	102,	84,	166,	0
502,	529,	138,	241,	388,	551,	32,	128,	146,	178,	228,	0
877,	877,	42,	101,	173,	200,	32,	128,	221,	48,	276,	0
-95,	-324,	1,	9,	-6,	21,	12,	48,	32,	22,	22,	0
197,	124,	-35,	-29,	-103,	-80,	8,	32,	163,	232,	280,	0
286	,368,	-54,	-98,	-175,	-262,	4,	16,	140,	202,	226,	0
251,	323,	4,	-12, -18,	10,	26,	104,	122,	172,	192,	0
219,	268,	21,	22,	22,	23,	21,	84,	146,	180,	188,	0
289,	370,	29,	16,	6,	3,	41,	164,	158,	236,	142,	0
389,	400,	42,	70,	92,	110,	63,	252,	147,	186,	200,	0
