100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-633,-948,-621,-716,-938,-910,-38,-152,-253,-70,58,0
70,73,19,40,48,61,5,20,-156,-2,14,0
357,447,20,43,62,128,10,40,-201,32,70,0
528,610,76,219,224,234,30,120,-93,84,54,0
1243,1740,253,898,1727,1452,139,556,-39,64,372,0
-688,-997,-7,1,-3,30,4,16,-72,26,72,0
-153,3,-106,-109,-125,-31,3,12,-123,32,82,0
54,181,21,-74,-228,-12,7,28,-189,-8,0,0
208,17,-19,20,-31,-52,10,40,-214,-6,-4,0
106,135,-13,19,25,55,10,40,-155,8,-30,0
259,295,2,15,42,60,10,40,-131,0,12,0
335,236,33,71,142,245,14,56,-386,-18,4,0
