100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-829,-1634,-249,-538,-472,-1091,-235,-940,579,28,556,0
-28,-65,34,80,68,79,35,140,491,426,382,0
445,162,53,210,291,443,36,144,619,514,382,8
-80,-3,49,169,258,527,12,48,636,504,408,0
1694,1891,209,572,823,1181,79,316,714,612,560,0
-427,-437,-1,47,2,102,7,28,560,442,410,0
-107,-106,24,46,23,105,20,80,784,190,750,0
299,128,42,104,117,157,22,88,654,536,810,0
154,265,51,108,185,192,17,68,608,476,498,0
212,81,77,160,209,252,19,76,1011,186,492,128
51,104,52,101,121,185,26,104,831,766,194,0
852,613,70,144,175,246,12,48,575,644,484,4
