100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-1605,-1608,-327,-595,-1103,-641,-75,-300,43,-66,22,0
-79,-198,-2,-12,1,16,17,68,37,38,38,0
240,3,35,1,29,68,16,64,47,48,76,0
160,29,72,79,112,106,22,88,77,34,14,0
1683,1675,365,847,1001,794,33,132,85,30,50,0
-53,-307,40,73,96,95,36,144,18,-2,0,0
-175,-157,-42,-121,-137,-29,14,56,28,6,46,0
140,-149,-45,-61,-141,-98,18,72,43,20,30,0
214,-26,-20,-31,-112,-42,19,76,32,16,10,0
269,58,4,7,-56,-22,26,104,102,52,68,0
221,148,10,15,11,38,35,140,59,54,38,0
680,484,17,22,68,13,29,116,78,38,16,0
