100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-753	-1244	-202	-183	-130	-142	-38	-152	-89	-90	-102	0
-196	-168	-9	-13	-2	10	5	20	17	18	10	0
-85	-70	37	57	64	76	11	44	11	26	26	0
2	-40	-1	-9	20	15	6	24	-13	34	16	0
427	597	91	109	168	168	46	184	11	12	8	0
127	132	9	17	36	43	12	48	8	-4	-4	0
95	146	33	59	89	96	22	88	32	36	14	0
91	155	16	34	45	59	11	44	18	36	8	0
120	135	24	35	58	64	8	32	12	14	14	0
121	225	29	66	84	80	13	52	19	34	6	0
131	192	34	43	68	80	13	52	33	58	36	0
661	765	66	78	98	92	27	108	40	22	8	0

