100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-588	-207	-1514	-2762	-3151	-1536	-215	-860	-731	-2184	-554	0
-506	-55	20	-20	-60	5	14	56	298	150	86	0
303	440	30	67	165	224	9	36	351	166	100	0
232	881	127	66	80	125	7	28	376	198	118	0
928	1183	304	809	1144	1540	30	120	245	140	82	0
-664	-1288	68	204	589	460	25	100	147	94	58	0
-714	-513	-21	180	277	415	22	88	326	210	142	0
-92	-109	64	262	647	483	19	76	258	158	110	0
-266	-272	6	61	175	242	21	84	321	192	126	0
-131	-237	-26	54	97	139	32	128	408	226	160	0
-53	17	12	215	338	463	23	92	382	190	136	0
659	567	195	217	647	454	56	224	238	126	88	0
