100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-1947	-2033	-739	-1146	-1589	-1391	-355	-1420	-913	-1298	-352	0
-294	-340	28	47	88	71	27	108	189	174	192	0
173	78	13	16	83	38	33	132	128	128	126	0
157	123	12	32	67	71	7	28	181	142	174	4
984	1,163	380	600	1083	1292	119	476	401	30	176	0
-541	-551	7	6	44	80	6	24	82	30	64	0
-168	-23	-9	2	42	32	20	80	196	104	152	0
77	98	7	21	-9	4	31	124	180	104	104	4
129	193	28	36	77	67	63	252	241	164	216	4
-178	-128	11	32	81	48	89	356	273	126	128	0
-16	146	39	66	83	85	57	228	180	54	90	4
461	536	80	124	145	218	94	376	277	162	246	0

