100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-861	-1059	-20	-13	-141	-89	-55	-220	35	156	44	0
-101	-9	8	14	-18	-6	5	20	36	50	26	0
108	110	12	28	-13	17	5	20	54	138	100	0
57	422	234	660	719	302	29	116	60	98	116	0
1037	1562	379	590	809	875	40	160	60	62	64	0
-315	-510	10	-48	-7	50	1	4	6	8	10	0
-151	-319	4	-17	14	129	4	16	16	20	24	0
-34	32	-30	-87	-25	-27	6	24	41	32	40	0
42	-132	-13	-6	43	48	4	16	55	44	36	0
42	-106	4	25	35	-57	6	24	62	86	74	0
89	24	-1	-9	23	-34	7	28	54	62	56	0
344	552	4	28	14	-62	7	28	82	96	88	0

