100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-584,-1299,-794,-686,-1398,-1093,-8,-32,-260,0,-124,0
43,192,-7,8,6,-6,-2,-8,16,42,66,0
88,34,8,17,11,22,1,4,19,74,68,0
110,136,5,10,35,68,30,120,21,68,62,0
381,495,165,192,276,335,174,696,95,228,194,0
-71,-176,13,14,30,57,42,168,28,48,32,0
-62,-125,16,17,42,63,13,52,50,82,90,0
48,100,14,9,13,49,9,36,48,100,64,0
72,117,5,11,4,4,34,136,23,82,68,0
39,138,14,20,36,9,19,76,55,70,58,0
100,228,28,37,53,97,87,348,38,94,56,0
384,675,99,128,198,206,104,416,66,102,108,0
