100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-582	-590	-142	-131	-249	-225	-90	-360	90	-86	-112	0
-108	-91	9	30	34	32	2	8	33	12	16	0
125	189	28	42	56	59	6	24	33	42	46	0
190	348	45	74	87	93	5	20	44	26	34	0
803	935	199	369	504	539	35	140	65	66	74	0
-217	-254	-26	-6	16	33	1	4	40	32	38	0
-116	-14	0	9	38	55	3	12	43	46	46	0
23	135	23	16	21	39	5	20	21	16	22	0
193	261	21	50	64	81	7	28	21	34	42	0
81	117	34	89	114	101	5	20	72	46	54	0
67	124	28	68	98	86	6	24	50	40	20	0
149	211	17	59	85	76	5	20	73	50	66	0

