100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-115,-2449,-824,-1671,-2268,-2217,7,28,298,-376,228,0
64,89,27,86,91,112,16,64,170,134,86,0
277,184,49,77,110,130,76,304,188,166,152,0
226,184,44,137,108,149,142,568,195,214,178,0
1910,2432,303,909,785,778,254,1016,406,308,410,0
-444,-703,-61,63,66,49,48,192,185,148,136,0
25,32,-21,-22,-10,53,59,236,228,300,252,0
164,235,40,93,15,98,40,160,185,176,164,0
263,166,92,160,218,260,80,320,196,214,264,0
313,378,71,156,175,265,86,344,173,186,114,0
377,221,65,176,147,226,94,376,210,240,202,0
315,231,91,152,76,128,98,392,58,262,126,0
