100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-591,-547,-266,-212,-213,-178,-33,-132,-60,-62,-98,0
184,104,13,36,49,57,2,8,31,6,8,0
266,206,20,36,44,64,12,48,27,14,16,0
214,222,20,37,39,62,6,24,37,10,16,0
692,994,142,300,475,479,92,368,55,12,16,0
78,83,21,46,66,95,27,108,7,6,8,0
102,116,10,14,26,46,14,56,23,10,12,0
315,299,23,35,41,99,26,104,35,10,12,0
213,187,23,42,62,92,19,76,29,6,10,0
231,202,23,30,43,75,20,80,35,6,8,0
245,220,29,63,68,92,17,68,24,10,22,0
537,567,59,109,162,192,28,112,39,10,12,0
