100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-606	-1488	-169	-167	-140	-66	-62	-248	-11	-44	-60	0
-104	-154	3	-18	16	31	15	60	-31	4	-12	0
-19	7	8	7	24	55	27	108	-21	-6	-8	0
30	-14	29	45	51	80	20	80	18	12	4	0
762	913	309	586	928	707	57	228	63	8	4	0
-583	-969	-133	-270	-310	-330	-13	-52	-139	-36	-34	0
-403	-750	-90	-5	17	-52	13	52	-10	4	-14	0
-74	-100	-20	-65	-104	74	30	120	-18	0	-22	0
-92	-118	-17	-54	-81	-42	19	76	-27	8	-14	0
-133	-124	3	7	-18	-169	24	96	-88	-2	-16	0
22	5	-21	-46	-85	-106	31	124	-94	-2	-12	0
307	258	18	-9	-23	-16	19	76	-61	-8	-10	0

