100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-2243,-2110,-2560,-1138,-2549,-1386,-332,-1328,575,324,204,0
-103,-754,119,256,396,842,54,216,360,326,582,0
831,817,93,208,341,919,107,428,641,568,782,0
1010,1515,103,232,360,674,80,320,350,52,32,0
3718,6644,1698,3542,4544,6476,297,1188,809,54,90,0
-2490,-3124,-249,-301,-636,-2347,35,140,207,64,-6,0
-255,-2296,54,6,-553,-416,63,252,530,656,270,0
855,-259,175,71,228,528,91,364,403,470,332,0
-73,329,7,-50,216,20,36,144,251,166,154,0
420,-73,40,4,138,435,29,116,518,608,228,0
812,606,29,-14,294,596,32,128,573,618,350,0
1451,1636,175,233,381,602,20,80,768,610,492,0
