100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-1212,-1837,-438,-876,-1193,-385,-63,-252,91,-54,-24,0
25,-56,10,22,20,28,13,52,45,22,-10,0
89,348,16,73,21,29,17,68,84,210,180,0
94,476,34,107,72,118,7,28,253,222,162,0
1041,1487,691,1423,1868,1625,151,604,101,78,96,0
-868,-890,67,97,5,8,5,20,3,2,4,0
-536,-845,-266,-531,5,5,6,24,72,70,42,0
101,-93,-63,-214,7,7,2,8,40,32,12,0
-199,-247,-37,-7,8,8,1,4,39,42,48,0
-227,-205,-14,4,9,8,2,8,53,26,28,0
-95,10,-8,36,9,9,0,0,21,24,10,0
180,424,35,65,33,23,7,28,145,136,146,0
