100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-1572	-1973	-2270	-2141	-3387	-3042	-525	-2100	-251	-1028	-504	0
-212	-70	63	83	50	31	79	316	229	184	270	0
134	155	69	129	192	244	111	444	272	252	396	0
635	1204	421	594	1192	1300	164	656	399	338	490	0
3101	2751	616	1008	1508	1554	226	904	487	376	166	0
-1416	-1937	-152	-277	-435	-344	-59	-236	94	38	30	0
-671	-871	164	467	301	752	97	388	113	66	42	0
-91	-191	100	113	3	478	3	12	37	32	30	0
273	393	62	51	293	159	12	48	105	74	86	0
-73	-273	127	198	130	530	40	160	163	120	118	0
-40	-108	57	92	58	139	40	160	258	108	128	0
856	743	146	202	241	176	45	180	395	148	220	0

