100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-397	-1048	-158	-178	-301	-393	7	28	265	238	112	0
-59	25	19	25	50	110	10	40	186	166	90	0
102	165	25	14	37	86	10	40	185	166	142	0
108	268	14	28	14	70	10	40	186	168	128	0
771	1050	144	318	594	817	20	80	219	188	130	0
-317	-317	-7	4	-28	21	6	24	186	166	50	0
136	156	16	39	29	37	10	40	186	168	132	0
101	145	11	18	42	92	11	44	186	166	110	0
122	172	11	24	20	42	11	44	186	168	72	0
109	74	10	26	21	52	11	44	186	168	158	0
222	143	16	26	15	24	11	44	187	166	74	0
414	478	15	28	57	108	20	80	186	166	86	0

