100K	50K	20K	10K	5K	2K	1K	1L	500L	200L	100L	50L
-436	-676	-253	-232	-852	-1267	-142	-568	-129	-352	-150	0
75	45	30	40	46	67	3	12	4	2	2	0
153	109	21	45	36	69	4	16	19	16	6	0
72	17	25	44	66	74	7	28	47	70	22	0
346	634	219	902	894	918	40	160	102	42	40	0
-343	-576	-21	-20	-12	-10	-6	-24	17	-2	-2	0
-37	85	52	36	88	194	21	84	21	0	2	0
-31	-81	-27	-69	-59	-66	6	24	30	0	0	0
-25	-20	5	-28	-24	-61	7	28	37	6	8	0
-46	-57	16	-9	30	9	5	20	36	4	6	0
27	-11	18	11	9	51	7	28	58	4	10	0
360	424	42	62	103	189	18	72	57	10	4	0

