100K,	50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-518,-662,-114,-212,-227,-233,-72,-288,-404,-186,-2,0
176,29,27,48,10,83,-13,-52,-163,-4,42,0
162,43,30,65,101,27,-20,-80,-143,-6,-2,0
218,160,26,95,262,20,5,20,-222,62,148,0
148,789,239,416,369,311,91,364,-179,32,80,0
-198,-68,203,-32,270,459,50,200,-41,-8,4,0
-125,-290,-103,-55,-37,129,55,220,-106,-8,2,0
-4,-298,-19,-92,-109,-70,31,124,-328,-4,-8,0
112,250,-22,40,-151,105,-15,-60,-215,-4,-6,0
104,-35,-30,10,-22,-54,-14,-56,-165,26,14,0
108,-29,-20,31,-20,-5,11,44,-228,58,18,0
28,102,62,42,-78,39,15,60,-208,12,22,0
