100K,50K,	20K,	10K,	5K,	2K,	1K,	1L,	500L,	200L,	100L,	50L
-1174,-1365,-245,-734,-732,-580,-161,-644,135,96,82,0
-66,104,41,51,92,28,54,216,199,218,140,0
193,362,72,81,60,74,46,184,229,228,164,0
263,611,69,85,107,124,41,164,225,310,226,0
1505,2249,586,1186,1680,1264,66,264,450,352,340,0
-800,-1148,-135,-214,-294,-150,-6,-24,60,58,46,0
-199,-388,-45,-40,-88,-54,17,68,250,174,158,0
160,504,21,52,116,40,9,36,170,172,154,0
279,274,110,74,41,-21,72,288,157,148,132,0
2,99,46,80,156,89,172,688,245,202,192,0
96,290,33,80,142,-5,165,660,254,224,212,0
409,548,66,106,122,119,135,540,190,226,202,0
