id,pecahan,value
amb,AK,275
amb,BK,432
amb,CK,137
amb,DK,206
amb,EK,118
amb,FK,165
amb,GK,9
amb,GL,115
amb,HL,21
amb,IL,8
amb,JL,14
amb,KL,14
bpp,AK,142
bpp,BK,400
bpp,CK,959
bpp,DK,1457
bpp,EK,1287
bpp,FK,1302
bpp,GK,124
bpp,GL,1330
bpp,HL,1368
bpp,IL,1093
bpp,JL,546
bpp,KL,283
bna,AK,326
bna,BK,424
bna,CK,278
bna,DK,170
bna,EK,147
bna,FK,86
bna,GK,54
bna,GL,22
bna,HL,0
bna,IL,44
bna,JL,20
bna,KL,2
bdg,AK,1456
bdg,BK,3330
bdg,CK,679
bdg,DK,594
bdg,EK,1506
bdg,FK,3094
bdg,GK,67
bdg,GL,2892
bdg,HL,935
bdg,IL,671
bdg,JL,268
bdg,KL,410
bjm,AK,526
bjm,BK,849
bjm,CK,374
bjm,DK,694
bjm,EK,950
bjm,FK,1055
bjm,GK,45
bjm,GL,694
bjm,HL,438
bjm,IL,200
bjm,JL,347
bjm,KL,87
btm,AK,301
btm,BK,350
btm,CK,736
btm,DK,1081
btm,EK,1109
btm,FK,962
btm,GK,135
btm,GL,481
btm,HL,560
btm,IL,62
btm,JL,167
btm,KL,213
bgl,AK,461
bgl,BK,404
bgl,CK,60
bgl,DK,186
bgl,EK,129
bgl,FK,131
bgl,GK,42
bgl,GL,81
bgl,HL,113
bgl,IL,217
bgl,JL,156
bgl,KL,4
cbn,AK,412
cbn,BK,660
cbn,CK,640
cbn,DK,790
cbn,EK,1013
cbn,FK,1085
cbn,GK,51
cbn,GL,762
cbn,HL,106
cbn,IL,146
cbn,JL,21
cbn,KL,87
dpr,AK,436
dpr,BK,1449
dpr,CK,302
dpr,DK,650
dpr,EK,622
dpr,FK,1347
dpr,GK,278
dpr,GL,208
dpr,HL,306
dpr,IL,748
dpr,JL,191
dpr,KL,18
gto,AK,183
gto,BK,230
gto,CK,173
gto,DK,268
gto,EK,272
gto,FK,266
gto,GK,39
gto,GL,120
gto,HL,31
gto,IL,92
gto,JL,99
gto,KL,32
jkt,AK,2777
jkt,BK,2973
jkt,CK,7199
jkt,DK,1132
jkt,EK,3633
jkt,FK,1789
jkt,GK,176
jkt,GL,15892
jkt,HL,8317
jkt,IL,324
jkt,JL,75
jkt,KL,206
jmb,AK,710
jmb,BK,773
jmb,CK,162
jmb,DK,122
jmb,EK,233
jmb,FK,222
jmb,GK,26
jmb,GL,123
jmb,HL,25
jmb,IL,197
jmb,JL,87
jmb,KL,70
jap,AK,418
jap,BK,1936
jap,CK,245
jap,DK,240
jap,EK,317
jap,FK,246
jap,GK,50
jap,GL,3
jap,HL,156
jap,IL,336
jap,JL,369
jap,KL,17
jmr,AK,792
jmr,BK,2043
jmr,CK,865
jmr,DK,406
jmr,EK,930
jmr,FK,790
jmr,GK,36
jmr,GL,1012
jmr,HL,230
jmr,IL,332
jmr,JL,194
jmr,KL,18
kdr,AK,998
kdr,BK,1139
kdr,CK,306
kdr,DK,518
kdr,EK,1042
kdr,FK,665
kdr,GK,89
kdr,GL,130
kdr,HL,28
kdr,IL,123
kdr,JL,44
kdr,KL,8
kdi,AK,275
kdi,BK,150
kdi,CK,100
kdi,DK,168
kdi,EK,100
kdi,FK,170
kdi,GK,52
kdi,GL,13
kdi,HL,10
kdi,IL,84
kdi,JL,118
kdi,KL,20
kpg,AK,298
kpg,BK,866
kpg,CK,215
kpg,DK,240
kpg,EK,186
kpg,FK,233
kpg,GK,48
kpg,GL,265
kpg,HL,112
kpg,IL,106
kpg,JL,112
kpg,KL,39
bdl,AK,611
bdl,BK,1689
bdl,CK,540
bdl,DK,1440
bdl,EK,2031
bdl,FK,1537
bdl,GK,233
bdl,GL,747
bdl,HL,111
bdl,IL,131
bdl,JL,108
bdl,KL,2
lsm,AK,60
lsm,BK,1579
lsm,CK,358
lsm,DK,350
lsm,EK,311
lsm,FK,376
lsm,GK,90
lsm,GL,7
lsm,HL,4
lsm,IL,156
lsm,JL,52
lsm,KL,23
mks,AK,1079
mks,BK,1429
mks,CK,775
mks,DK,1246
mks,EK,1704
mks,FK,1547
mks,GK,379
mks,GL,949
mks,HL,1124
mks,IL,1444
mks,JL,538
mks,KL,4
mlg,AK,391
mlg,BK,579
mlg,CK,47
mlg,DK,105
mlg,EK,152
mlg,FK,165
mlg,GK,64
mlg,GL,98
mlg,HL,56
mlg,IL,79
mlg,JL,89
mlg,KL,12
mam,AK,176
mam,BK,292
mam,CK,41
mam,DK,38
mam,EK,29
mam,FK,41
mam,GK,66
mam,GL,35
mam,HL,16
mam,IL,43
mam,JL,35
mam,KL,2
mnd,AK,221
mnd,BK,777
mnd,CK,834
mnd,DK,750
mnd,EK,1479
mnd,FK,1215
mnd,GK,30
mnd,GL,1148
mnd,HL,380
mnd,IL,119
mnd,JL,245
mnd,KL,157
mnk,AK,249
mnk,BK,59
mnk,CK,20
mnk,DK,21
mnk,EK,5
mnk,FK,16
mnk,GK,9
mnk,GL,7
mnk,HL,1
mnk,IL,12
mnk,JL,2
mnk,KL,7
mtr,AK,358
mtr,BK,414
mtr,CK,153
mtr,DK,180
mtr,EK,338
mtr,FK,321
mtr,GK,95
mtr,GL,8
mtr,HL,0
mtr,IL,145
mtr,JL,170
mtr,KL,43
mdn,AK,133
mdn,BK,142
mdn,CK,1843
mdn,DK,3340
mdn,EK,3639
mdn,FK,1944
mdn,GK,238
mdn,GL,1134
mdn,HL,1211
mdn,IL,2463
mdn,JL,792
mdn,KL,585
pad,AK,751
pad,BK,1126
pad,CK,291
pad,DK,286
pad,EK,856
pad,FK,1842
pad,GK,37
pad,GL,410
pad,HL,67
pad,IL,83
pad,JL,93
pad,KL,14
plk,AK,566
plk,BK,564
plk,CK,36
plk,DK,287
plk,EK,306
plk,FK,243
plk,GK,13
plk,GL,0
plk,HL,3
plk,IL,27
plk,JL,5
plk,KL,89
plg,AK,110
plg,BK,2700
plg,CK,882
plg,DK,1844
plg,EK,2432
plg,FK,2372
plg,GK,44
plg,GL,803
plg,HL,2
plg,IL,659
plg,JL,25
plg,KL,28
pal,AK,299
pal,BK,249
pal,CK,145
pal,DK,170
pal,EK,208
pal,FK,90
pal,GK,49
pal,GL,118
pal,HL,35
pal,IL,261
pal,JL,206
pal,KL,44
pgp,AK,372
pgp,BK,923
pgp,CK,188
pgp,DK,186
pgp,EK,213
pgp,FK,194
pgp,GK,1
pgp,GL,169
pgp,HL,45
pgp,IL,86
pgp,JL,64
pgp,KL,0
pbr,AK,1931
pbr,BK,1141
pbr,CK,623
pbr,DK,141
pbr,EK,822
pbr,FK,665
pbr,GK,62
pbr,GL,291
pbr,HL,32
pbr,IL,20
pbr,JL,8
pbr,KL,1
pms,AK,773
pms,BK,714
pms,CK,294
pms,DK,277
pms,EK,285
pms,FK,301
pms,GK,46
pms,GL,182
pms,HL,100
pms,IL,82
pms,JL,117
pms,KL,75
ptk,AK,232
ptk,BK,855
ptk,CK,723
ptk,DK,1143
ptk,EK,1466
ptk,FK,1330
ptk,GK,143
ptk,GL,235
ptk,HL,302
ptk,IL,945
ptk,JL,325
ptk,KL,713
pwt,AK,436
pwt,BK,1192
pwt,CK,212
pwt,DK,211
pwt,EK,224
pwt,FK,145
pwt,GK,103
pwt,GL,241
pwt,HL,5
pwt,IL,43
pwt,JL,39
pwt,KL,6
smr,AK,325
smr,BK,932
smr,CK,207
smr,DK,260
smr,EK,387
smr,FK,523
smr,GK,0
smr,GL,9
smr,HL,5
smr,IL,38
smr,JL,32
smr,KL,306
smg,AK,469
smg,BK,1235
smg,CK,2413
smg,DK,2261
smg,EK,3627
smg,FK,3276
smg,GK,564
smg,GL,1258
smg,HL,405
smg,IL,1168
smg,JL,662
smg,KL,200
srg,AK,346
srg,BK,558
srg,CK,272
srg,DK,271
srg,EK,932
srg,FK,1361
srg,GK,148
srg,GL,311
srg,HL,138
srg,IL,354
srg,JL,152
srg,KL,16
sbg,AK,427
sbg,BK,457
sbg,CK,164
sbg,DK,62
sbg,EK,45
sbg,FK,32
sbg,GK,39
sbg,GL,44
sbg,HL,6
sbg,IL,116
sbg,JL,37
sbg,KL,7
slo,AK,713
slo,BK,1562
slo,CK,482
slo,DK,926
slo,EK,1271
slo,FK,472
slo,GK,69
slo,GL,24
slo,HL,71
slo,IL,191
slo,JL,39
slo,KL,67
sby,AK,924
sby,BK,1912
sby,CK,2807
sby,DK,1557
sby,EK,3228
sby,FK,2471
sby,GK,398
sby,GL,617
sby,HL,66
sby,IL,221
sby,JL,270
sby,KL,14
tar,AK,50
tar,BK,153
tar,CK,146
tar,DK,269
tar,EK,282
tar,FK,232
tar,GK,20
tar,GL,65
tar,HL,31
tar,IL,79
tar,JL,34
tar,KL,7
tsm,AK,402
tsm,BK,637
tsm,CK,109
tsm,DK,257
tsm,EK,291
tsm,FK,188
tsm,GK,40
tsm,GL,258
tsm,HL,28
tsm,IL,190
tsm,JL,56
tsm,KL,54
tgl,AK,370
tgl,BK,912
tgl,CK,123
tgl,DK,280
tgl,EK,515
tgl,FK,134
tgl,GK,109
tgl,GL,156
tgl,HL,236
tgl,IL,97
tgl,JL,79
tgl,KL,71
tte,AK,81
tte,BK,212
tte,CK,295
tte,DK,381
tte,EK,326
tte,FK,265
tte,GK,20
tte,GL,503
tte,HL,129
tte,IL,182
tte,JL,206
tte,KL,12
yyk,AK,774
yyk,BK,1109
yyk,CK,291
yyk,DK,772
yyk,EK,812
yyk,FK,708
yyk,GK,212
yyk,GL,336
yyk,HL,161
yyk,IL,181
yyk,JL,148
yyk,KL,146
