id,name,x,y,Q,cpeti,cjarak,transit
amb,Ambon,128.1843218,-3.6947983,2330,0,0,1
bpp,Balikpapan,116.8291272,-1.277385,12972,0,0,1
bna,Banda Aceh,95.3168672,5.5576385,2040,0,0,1
bdg,Bandung,107.6092794,-6.9143356,52111,0,0,1
bjm,Banjarmasin,114.5918511,-3.3236478,6259,0,0,1
btm,Batam,104.0558977,1.1292039,6157,0,0,1
bgl,Bengkulu,102.253207,-3.790198,2000,0,0,1
cbn,Cirebon,108.5721852,-6.7189802,15000,0,0,1
dpr,Denpasar,115.222783,-8.6683054,18606,0,0,1
gto,Gorontalo,123.077416,0.5353762,2250,0,0,1
jkt,Jakarta,106.8247514,-6.1667636,298010,0,0,1
jmb,Jambi,103.5828587,-1.6091815,4776,0,0,1
jap,Jayapura,140.7058042,-2.5390505,12870,0,0,1
jmr,Jember,113.6793971,-8.1782815,9582,0,0,1
kdr,Kediri,112.0138795,-7.8141708,5090,0,0,1
kdi,Kendari,122.5507713,-3.9651584,1480,0,0,1
kpg,Kupang,123.6059201,-10.1709413,4008,0,0,1
bdl,Lampung,105.267406,-5.4434601,16000,0,0,1
lsm,Lhokseumawe,97.1411612,5.1823794,6000,0,0,1
mks,Makassar,119.4141384,-5.1341616,15000,0,0,1
mlg,Malang,112.6314473,-7.9816268,2580,0,0,1
mam,Mamuju,118.8895996,-2.6778004,820,0,0,1
mnd,Manado,124.8428007,1.4677089,12324,0,0,1
mnk,Manokwari,134.07563,-0.8655739,490,0,0,1
mtr,Mataram,116.102498,-8.580817,2225,0,0,1
mdn,Medan,98.6770692,3.5907934,24054,0,0,1
pad,Padang,100.3622993,-0.9430504,9588,0,0,1
plk,Palangkaraya,113.925826,-2.2136981,2140,0,0,1
plg,Palembang,104.7544829,-2.975594,13680,0,0,1
pal,Palu,119.870193,-0.8891689,1875,0,0,1
pgp,Pangkal Pinang,106.1570726,-2.1489221,5890,0,0,1
pbr,Pekanbaru,101.446956,0.5146997,5740,0,0,1
pms,Pematang Siantar,99.0582705,2.9556307,3548,0,0,1
ptk,Pontianak,109.35379,-0.059941,15720,0,0,1
pwt,Purwokerto,109.2379672,-7.4222463,3600,0,0,1
smr,Samarinda,117.1380567,-0.5008913,10890,0,0,1
smg,Semarang,110.4226331,-6.9946758,40716,0,0,1
srg,Serang,106.1498068,-6.1758653,5490,0,0,1
sbg,Sibolga,98.77534,1.7474852,2980,0,0,1
slo,Solo,110.8295009,-7.5708804,13500,0,0,1
sby,Surabaya,112.7377473,-7.2441903,14500,0,0,1
tar,Tarakan,117.5750747,3.3216291,1370,0,0,1
tsm,Tasikmalaya,108.2257789,-7.3265654,2850,0,0,1
tgl,Tegal,109.1288435,-6.8679808,4806,0,0,1
tte,Ternate,127.3807226,0.7871245,5514,0,0,1
yyk,Yogyakarta,110.3659379,-7.8018115,12198,0,0,1
