u,v,moda,x,y,periode,total
jkt,mdn,KPNG,3300,1,1,3.37808e8
jkt,mdn,KPNG,3300,1,2,3.37808e8
jkt,mdn,KPNG,3300,1,2,3.37808e8
jkt,mdn,KPNG,3300,1,3,3.37808e8
jkt,mdn,KPNG,3300,1,3,3.37808e8
jkt,mdn,KPNG,3300,1,5,3.40858e8
jkt,mdn,KPNG,4400,1,5,4.43674e8
jkt,mdn,KPNG,3300,1,6,3.37808e8
jkt,mdn,KPNG,3200,1,7,3.37508e8
jkt,mdn,KPNG,4400,1,8,4.40624e8
jkt,mdn,KPNG,3850,1,9,3.89216e8
jkt,mdn,KBRG,3850,1,10,2.2346e8
jkt,mdn,KPNG,3850,1,12,3.89216e8
jkt,mdn,KPNG,3150,1,12,3.37358e8
jkt,bdl,TRUK,1005,5,2,3.3581e7
jkt,bdl,TRUK,1000,4,2,3.3566e7
jkt,bdl,TRUK,1000,4,3,3.3566e7
jkt,bdl,TRUK,1000,4,3,3.3566e7
jkt,bdl,TRUK,1000,4,3,3.3566e7
jkt,bdl,TRUK,1000,4,4,3.3566e7
jkt,bdl,TRUK,1000,4,4,3.3566e7
jkt,bdl,TRUK,1000,4,5,3.3566e7
jkt,bdl,TRUK,1000,4,5,3.3566e7
jkt,bdl,TRUK,1000,4,5,3.3566e7
jkt,bdl,TRUK,1104,5,6,3.3878e7
jkt,bdl,TRUK,1000,4,7,3.3566e7
jkt,bdl,TRUK,1000,4,9,3.3566e7
jkt,bdl,TRUK,500,2,9,2.5874e7
jkt,bdl,TRUK,1000,4,10,3.3566e7
jkt,bdl,TRUK,1000,4,11,3.3566e7
jkt,bdl,TRUK,1000,4,11,3.3566e7
jkt,bdl,TRUK,1000,4,12,3.3566e7
jkt,bdl,TRUK,1000,4,12,3.3566e7
jkt,bdl,TRUK,1000,4,12,3.3566e7
jkt,plg,KBRG,2750,1,1,1.68605e8
jkt,plg,KBRG,4400,1,2,2.59625e8
jkt,plg,KBRG,3300,1,3,2.0454e8
jkt,plg,KBRG,2750,1,4,1.70155e8
jkt,plg,KBRG,3300,1,5,2.03765e8
jkt,plg,KBRG,3300,1,6,2.03765e8
jkt,plg,KBRG,3300,1,7,2.03765e8
jkt,plg,KBRG,3300,1,9,2.0299e8
jkt,plg,KBRG,2905,1,10,2.01805e8
jkt,plg,KBRG,3300,1,11,2.0299e8
jkt,plg,KBRG,2750,1,12,1.70155e8
jkt,pbr,KBRG,3300,1,1,2.0999e8
jkt,pbr,KBRG,4400,1,2,2.6905e8
jkt,pbr,KBRG,1650,1,3,1.17245e8
jkt,pbr,KBRG,3300,1,4,2.0999e8
jkt,pbr,KBRG,3850,1,5,2.38745e8
jkt,pbr,KBRG,3829,1,6,2.39457e8
jkt,pbr,KBRG,3300,1,6,2.09215e8
jkt,pbr,KBRG,2200,1,8,1.45275e8
jkt,pbr,KBRG,2200,1,8,1.445e8
jkt,pbr,KBRG,2200,1,10,1.4605e8
jkt,pbr,KBRG,2200,1,11,1.4605e8
jkt,pbr,KBRG,2200,1,12,1.46825e8
jkt,bdg,TRUK,1100,5,1,1.953e7
jkt,bdg,TRUK,1100,5,1,1.953e7
jkt,bdg,TRUK,1250,5,1,1.998e7
jkt,bdg,TRUK,1250,5,2,1.998e7
jkt,bdg,TRUK,1250,5,2,1.998e7
jkt,bdg,TRUK,1250,5,2,1.998e7
jkt,bdg,TRUK,1250,5,2,1.998e7
jkt,bdg,TRUK,1250,5,2,1.998e7
jkt,bdg,TRUK,1250,5,3,1.998e7
jkt,bdg,TRUK,1250,5,3,1.998e7
jkt,bdg,TRUK,1250,5,3,1.998e7
jkt,bdg,TRUK,1250,5,3,1.998e7
jkt,bdg,TRUK,1250,5,3,1.998e7
jkt,bdg,TRUK,1250,5,4,1.998e7
jkt,bdg,TRUK,1000,4,4,1.684e7
jkt,bdg,TRUK,1250,5,4,1.998e7
jkt,bdg,TRUK,1250,5,5,1.998e7
jkt,bdg,TRUK,1250,5,5,1.998e7
jkt,bdg,TRUK,1250,5,5,1.998e7
jkt,bdg,TRUK,1200,5,6,1.983e7
jkt,bdg,TRUK,1200,5,6,1.983e7
jkt,bdg,TRUK,1000,4,6,1.684e7
jkt,bdg,TRUK,1000,4,11,1.684e7
jkt,bdg,TRUK,1100,5,11,1.953e7
jkt,bdg,TRUK,1100,5,11,1.953e7
jkt,bdg,TRUK,1000,4,12,1.839e7
jkt,bdg,TRUK,1000,4,12,1.839e7
jkt,smg,KRTA,1000,1,1,6.631e7
jkt,smg,KRTA,1885,1,1,1.2993e8
jkt,smg,KRTA,2850,1,2,1.8763e8
jkt,smg,KRTA,2000,1,2,1.3062e8
jkt,smg,KRTA,2050,1,2,1.8283e8
jkt,smg,KRTA,1900,1,3,1.2712e8
jkt,smg,KRTA,1950,1,3,1.2742e8
jkt,smg,KRTA,1850,1,4,1.2682e8
jkt,smg,KRTA,1850,1,4,1.2682e8
jkt,smg,KRTA,1850,1,4,1.2682e8
jkt,smg,KRTA,3100,2,5,1.8913e8
jkt,smg,KRTA,3000,1,6,1.8853e8
jkt,smg,KRTA,2700,1,6,1.8673e8
jkt,smg,KRTA,3000,1,6,1.8853e8
jkt,smg,KRTA,2900,1,6,1.8793e8
jkt,smg,KRTA,800,1,6,6.511e7
jkt,smg,KRTA,1850,1,10,1.2682e8
jkt,smg,KRTA,2750,1,12,1.8703e8
jkt,smg,KRTA,3000,1,12,1.8853e8
jkt,smg,KRTA,2650,1,12,1.8643e8
jkt,smg,KRTA,2950,1,12,1.8823e8
jkt,btm,KPNG,1650,1,2,1.66055e8
jkt,btm,KPNG,1100,1,3,1.15530002e8
jkt,btm,KPNG,1650,1,5,1.66055006e8
jkt,btm,KPNG,1650,1,5,1.66055009e8
jkt,btm,KPNG,2200,1,7,2.16580016e8
jkt,btm,KPNG,1600,1,9,1.65905015e8
jkt,btm,KPNG,1610,1,10,1.65935018e8
jkt,btm,KPNG,550,1,12,6.5005007e7
jkt,srg,TRUK,70,1,6,8.3125e6
jkt,srg,TRUK,1250,5,6,1.81425e7
jkt,srg,TRUK,1027,5,7,1.74735e7
jkt,srg,TRUK,1000,4,8,1.537e7
jkt,srg,TRUK,1100,5,12,1.76925e7
jkt,cbn,TRUK,274,2,1,1.2382e7
jkt,cbn,TRUK,990,4,2,1.925e7
jkt,cbn,TRUK,600,3,3,1.617e7
jkt,cbn,TRUK,1000,4,4,1.928e7
jkt,cbn,TRUK,600,3,6,1.617e7
jkt,cbn,TRUK,1200,5,6,2.269e7
jkt,cbn,TRUK,650,3,11,1.632e7
jkt,cbn,TRUK,1000,4,12,1.928e7
jkt,ptk,KBRG,2750,1,2,1.65905e8
jkt,ptk,KBRG,3300,1,3,1.96485e8
jkt,ptk,KBRG,1100,1,4,8.423e7
jkt,ptk,KBRG,1700,1,9,1.3718e8
jkt,ptk,KBRG,1650,1,11,1.1068e8
jkt,ptk,KBRG,2200,1,12,1.4178e8
jkt,bjm,KBRG,1100,1,1,7.9855e7
jkt,bjm,KBRG,1100,1,3,8.063e7
jkt,bjm,KBRG,2750,1,4,1.59055e8
