id,periode,pecahan,value
amb,13,AK,-554.0
amb,14,AK,-522.0
amb,15,AK,-256.0
amb,16,AK,-391.0
amb,17,AK,-192.0
amb,18,AK,52.0
amb,19,AK,-117.0
amb,20,AK,-242.0
amb,21,AK,701.0
amb,22,AK,38.0
amb,23,AK,-566.0
amb,24,AK,239.0
amb,13,BK,-340.0
amb,14,BK,-127.0
amb,15,BK,-274.0
amb,16,BK,-56.0
amb,17,BK,-292.0
amb,18,BK,352.0
amb,19,BK,209.0
amb,20,BK,298.0
amb,21,BK,-3.0
amb,22,BK,194.0
amb,23,BK,-9.0
amb,24,BK,-12.0
amb,13,CK,274.0
amb,14,CK,9.0
amb,15,CK,-627.0
amb,16,CK,240.0
amb,17,CK,-379.0
amb,18,CK,145.0
amb,19,CK,-257.0
amb,20,CK,185.0
amb,21,CK,570.0
amb,22,CK,-268.0
amb,23,CK,221.0
amb,24,CK,-13.0
amb,13,DK,-417.0
amb,14,DK,148.0
amb,15,DK,375.0
amb,16,DK,109.0
amb,17,DK,539.0
amb,18,DK,76.0
amb,19,DK,-602.0
amb,20,DK,-302.0
amb,21,DK,-546.0
amb,22,DK,-180.0
amb,23,DK,175.0
amb,24,DK,-353.0
amb,13,EK,23.0
amb,14,EK,-335.0
amb,15,EK,-283.0
amb,16,EK,-65.0
amb,17,EK,318.0
amb,18,EK,-104.0
amb,19,EK,-611.0
amb,20,EK,-107.0
amb,21,EK,278.0
amb,22,EK,21.0
amb,23,EK,857.0
amb,24,EK,315.0
amb,13,FK,387.0
amb,14,FK,-258.0
amb,15,FK,-456.0
amb,16,FK,-197.0
amb,17,FK,153.0
amb,18,FK,107.0
amb,19,FK,-226.0
amb,20,FK,-439.0
amb,21,FK,-128.0
amb,22,FK,387.0
amb,23,FK,-9.0
amb,24,FK,601.0
amb,13,GK,-169.0
amb,14,GK,-105.0
amb,15,GK,-106.0
amb,16,GK,257.0
amb,17,GK,211.0
amb,18,GK,-340.0
amb,19,GK,768.0
amb,20,GK,46.0
amb,21,GK,168.0
amb,22,GK,-89.0
amb,23,GK,-113.0
amb,24,GK,-277.0
amb,13,GL,414.0
amb,14,GL,190.0
amb,15,GL,546.0
amb,16,GL,18.0
amb,17,GL,14.0
amb,18,GL,-210.0
amb,19,GL,-418.0
amb,20,GL,334.0
amb,21,GL,-118.0
amb,22,GL,154.0
amb,23,GL,-322.0
amb,24,GL,582.0
amb,13,HL,-362.0
amb,14,HL,-264.0
amb,15,HL,-238.0
amb,16,HL,233.0
amb,17,HL,62.0
amb,18,HL,-110.0
amb,19,HL,543.0
amb,20,HL,106.0
amb,21,HL,329.0
amb,22,HL,-175.0
amb,23,HL,-49.0
amb,24,HL,243.0
amb,13,IL,306.0
amb,14,IL,-220.0
amb,15,IL,508.0
amb,16,IL,268.0
amb,17,IL,178.0
amb,18,IL,278.0
amb,19,IL,-12.0
amb,20,IL,-128.0
amb,21,IL,-146.0
amb,22,IL,170.0
amb,23,IL,262.0
amb,24,IL,-346.0
amb,13,JL,-290.0
amb,14,JL,716.0
amb,15,JL,360.0
amb,16,JL,-284.0
amb,17,JL,102.0
amb,18,JL,-138.0
amb,19,JL,-198.0
amb,20,JL,262.0
amb,21,JL,64.0
amb,22,JL,304.0
amb,23,JL,-48.0
amb,24,JL,254.0
amb,13,KL,-10.0
amb,14,KL,50.0
amb,15,KL,-310.0
amb,16,KL,390.0
amb,17,KL,-770.0
amb,18,KL,-50.0
amb,19,KL,-650.0
amb,20,KL,610.0
amb,21,KL,310.0
amb,22,KL,-90.0
amb,23,KL,450.0
amb,24,KL,-110.0
bpp,13,AK,-118.0
bpp,14,AK,20.0
bpp,15,AK,-625.0
bpp,16,AK,-152.0
bpp,17,AK,-356.0
bpp,18,AK,-266.0
bpp,19,AK,-330.0
bpp,20,AK,256.0
bpp,21,AK,-729.0
bpp,22,AK,235.0
bpp,23,AK,-646.0
bpp,24,AK,881.0
bpp,13,BK,-819.0
bpp,14,BK,-32.0
bpp,15,BK,305.0
bpp,16,BK,397.0
bpp,17,BK,167.0
bpp,18,BK,-18.0
bpp,19,BK,-88.0
bpp,20,BK,-25.0
bpp,21,BK,-7.0
bpp,22,BK,195.0
bpp,23,BK,260.0
bpp,24,BK,-559.0
bpp,13,CK,-1084.0
bpp,14,CK,-605.0
bpp,15,CK,-346.0
bpp,16,CK,-488.0
bpp,17,CK,158.0
bpp,18,CK,-287.0
bpp,19,CK,101.0
bpp,20,CK,158.0
bpp,21,CK,294.0
bpp,22,CK,-165.0
bpp,23,CK,90.0
bpp,24,CK,472.0
bpp,13,DK,-1245.0
bpp,14,DK,89.0
bpp,15,DK,-28.0
bpp,16,DK,202.0
bpp,17,DK,95.0
bpp,18,DK,39.0
bpp,19,DK,-456.0
bpp,20,DK,-561.0
bpp,21,DK,-627.0
bpp,22,DK,-49.0
bpp,23,DK,-280.0
bpp,24,DK,-146.0
bpp,13,EK,-888.0
bpp,14,EK,-82.0
bpp,15,EK,-104.0
bpp,16,EK,-286.0
bpp,17,EK,39.0
bpp,18,EK,53.0
bpp,19,EK,-132.0
bpp,20,EK,-234.0
bpp,21,EK,368.0
bpp,22,EK,-738.0
bpp,23,EK,-834.0
bpp,24,EK,-639.0
bpp,13,FK,-917.0
bpp,14,FK,-613.0
bpp,15,FK,-172.0
bpp,16,FK,230.0
bpp,17,FK,778.0
bpp,18,FK,-212.0
bpp,19,FK,-526.0
bpp,20,FK,199.0
bpp,21,FK,-290.0
bpp,22,FK,-194.0
bpp,23,FK,51.0
bpp,24,FK,-214.0
bpp,13,GK,753.0
bpp,14,GK,312.0
bpp,15,GK,251.0
bpp,16,GK,-427.0
bpp,17,GK,23.0
bpp,18,GK,266.0
bpp,19,GK,773.0
bpp,20,GK,237.0
bpp,21,GK,-467.0
bpp,22,GK,-28.0
bpp,23,GK,-408.0
bpp,24,GK,436.0
bpp,13,GL,-418.0
bpp,14,GL,638.0
bpp,15,GL,314.0
bpp,16,GL,-298.0
bpp,17,GL,-258.0
